-063.25 -067.30      -4      -4    2000    2000
-063.17 -050.44      -4      -3    2000    3800
-063.01 -033.49      -4      -2    2000    5000
-063.08 -016.86      -4      -1    2000    6800
-062.93 +000.00      -4       0    2000    8000
-062.96 +016.89      -4       1    2000    9800
-062.97 +033.60      -4       2    2000    B000
-063.06 +050.68      -4       3    2000    C800
-063.29 +067.81      -4       4    2000    E000
-047.29 -067.26      -3      -4    3800    2000
-047.32 -050.35      -3      -3    3800    3800
-047.14 -033.53      -3      -2    3800    5000
-047.15 -016.78      -3      -1    3800    6800
-047.19 +000.00      -3       0    3800    8000
-047.19 +016.97      -3       1    3800    9800
-047.27 +033.64      -3       2    3800    B000
-047.32 +050.48      -3       3    3800    C800
-047.43 +067.73      -3       4    3800    E000
-031.40 -067.00      -2      -4    5000    2000
-031.40 -050.26      -2      -3    5000    3800
-031.48 -033.42      -2      -2    5000    5000
-031.48 -016.88      -2      -1    5000    6800
-031.50 +000.00      -2       0    5000    8000
-031.39 +016.88      -2       1    5000    9800
-031.39 +033.67      -2       2    5000    B000
-031.50 +050.41      -2       3    5000    C800
-031.60 +067.62      -2       4    5000    E000
-015.79 -066.99      -1      -4    6800    2000
-015.81 -050.06      -1      -3    6800    3800
-015.73 -033.25      -1      -2    6800    5000
-015.67 -016.64      -1      -1    6800    6800
-015.68 +000.00      -1       0    6800    8000
-015.73 +016.76      -1       1    6800    9800
-015.73 +033.33      -1       2    6800    B000
-015.80 +050.29      -1       3    6800    C800
-015.90 +067.39      -1       4    6800    E000
+000.00 -067.02       0      -4    8000    2000
+000.00 -050.21       0      -3    8000    3800
+000.00 -033.25       0      -2    8000    5000
+000.00 -016.54       0      -1    8000    6800
+000.00 +000.00       0       0    8000    8000
+000.00 +016.52       0       1    8000    9800
+000.00 +033.44       0       2    8000    B000
+000.00 +050.37       0       3    8000    C800
+000.00 +067.49       0       4    8000    E000
+015.75 -067.19       1      -4    9800    2000
+015.69 -050.17       1      -3    9800    3800
+015.69 -033.45       1      -2    9800    5000
+015.70 -016.78       1      -1    9800    6800
+015.69 +000.00       1       0    9800    8000
+015.70 +016.67       1       1    9800    9800
+015.66 +033.41       1       2    9800    B000
+015.76 +050.31       1       3    9800    C800
+015.69 +067.32       1       4    9800    E000
+031.48 -067.15       2      -4    B000    2000
+031.34 -050.07       2      -3    B000    3800
+031.34 -033.39       2      -2    B000    5000
+031.29 -016.63       2      -1    B000    6800
+031.37 +000.00       2       0    B000    8000
+031.48 +016.98       2       1    B000    9800
+031.39 +033.72       2       2    B000    B000
+031.44 +050.58       2       3    B000    C800
+031.42 +067.65       2       4    B000    E000
+047.14 -067.20       3      -4    C800    2000
+047.13 -050.15       3      -3    C800    3800
+047.13 -033.29       3      -2    C800    5000
+047.13 -016.67       3      -1    C800    6800
+047.08 +000.00       3       0    C800    8000
+047.13 +016.89       3       1    C800    9800
+047.13 +033.58       3       2    C800    B000
+047.17 +050.61       3       3    C800    C800
+047.15 +067.70       3       4    C800    E000
+062.81 -067.16       4      -4    E000    2000
+062.78 -050.16       4      -3    E000    3800
+062.78 -033.18       4      -2    E000    5000
+062.77 -016.57       4      -1    E000    6800
+062.76 +000.00       4       0    E000    8000
+062.82 +016.76       4       1    E000    9800
+062.84 +033.55       4       2    E000    B000
+062.98 +050.54       4       3    E000    C800
+062.98 +067.74       4       4    E000    E000
